Major Beginning of Semester	Cum GPA Beginning of Semester	Major End of Semester	Cum GPA End of Semester
Others	0.0	Others	3.455
Others	2.2	Others	1.706
Others	3.07	Others	3.06
Others	1.69	Others	1.721
Others	3.25	Others	3.267
Others	2.121	Others	1.896
Others	3.125	Others	3.156
Others	2.571	Others	2.65
Others	4.0	Others	3.143
Others	0.0	Others	3.533
Others	0.0	Others	2.286
Others	0.0	Others	0.818
Others	3.018	Others	3.09
Others	0.0	Others	1.778
Others	0.0	Others	3.133
Others	0.0	Others	1.0
Others	0.0	Others	1.75
Others	0.0	Others	3.455
Others	3.759	Others	3.723
Others	0.0	Others	1.909
Others	2.5	Others	3.143
Others	3.5	Others	3.423
Others	3.0	Others	3.625
Others	0.0	Others	4.0
Others	1.882	Others	2.047
Others	0.0	Others	1.727
Others	4.0	Others	4.0
Others	0.0	Others	1.0
Others	1.8	Others	2.206
BIOL-BS	3.087	MATH-BS	3.078
Others	3.721	MATH-BS	3.684
Others	3.0	MATH-BS	2.786
BIOL-BS	0.0	MATH-BS	2.867
CS-BS	2.025	Others	1.979
Others	1.333	Others	1.389
Others	2.712	Others	2.735
Others	2.2	Others	2.333
Others	2.375	Others	2.264
Others	2.147	Others	2.194
Others	2.213	Others	2.248
Others	2.564	Others	2.642
Others	2.325	Others	2.48
Others	2.444	Others	2.453
Others	1.308	Others	1.577
Others	3.242	Others	3.283
Others	3.19	Others	3.24
Others	2.5	Others	2.52
Others	1.07	Others	1.164
Others	2.72	Others	2.767
Others	2.214	Others	2.221
Others	2.0	Others	2.048
Others	2.19	Others	2.286
Others	2.939	Others	2.833
Others	2.333	Others	2.571
CS-BS	2.0	Others	2.522
Others	2.35	Others	2.0
Others	2.263	Others	2.091
Others	2.5	Others	3.118
Others	2.78	Others	2.69
Others	2.8	Others	2.959
Others	2.263	Others	2.415
Others	2.471	Others	2.409
Others	2.407	Others	2.623
Others	2.262	Others	1.979
Others	2.767	Others	2.744
Others	0.0	Others	2.25
Others	3.667	Others	3.739
Others	2.178	Others	2.191
Others	2.0	Others	0.952
Others	0.0	Others	2.733
Others	4.0	Others	3.2
Others	3.688	Others	3.55
Others	2.5	Others	2.295
Others	2.438	Others	2.567
Others	3.719	Others	3.795
Others	0.0	Others	4.0
Others	0.0	Others	0.571
BIOL-BS	0.0	Others	1.818
Others	3.423	Others	3.154
Others	2.758	Others	2.658
Others	0.0	Others	2.091
Others	0.0	Others	2.909
Others	3.0	Others	2.714
Others	0.0	Others	2.286
Others	2.273	Others	2.133
Others	2.925	Others	3.0
Others	0.0	Others	3.2
Others	0.0	Others	2.929
Others	0.0	Others	3.667
Others	3.5	Others	3.4
Others	0.0	Others	0.25
Others	0.0	Others	2.071
Others	0.0	Others	2.75
Others	0.0	Others	1.091
Others	4.0	Others	2.444
Others	2.375	Others	2.786
Others	0.0	Others	2.273
Others	0.0	Others	2.727
Others	3.365	Others	3.156
Others	2.861	Others	2.774
Others	1.3	Others	1.84
Others	2.263	Others	2.385
Others	2.239	Others	2.372
Others	3.164	Others	3.316
Others	2.855	Others	2.871
Others	2.945	Others	2.906
Others	2.275	Others	2.439
Others	2.205	Others	2.184
Others	2.559	Others	2.543
Others	2.032	Others	1.634
Others	3.364	Others	3.313
